epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.199,2.58891,5.76759,2.57117,0.83625,0.06289,0.09911,0.05794,2.47178,3.77739,2.64374,0.00010601,0.00010601,0.00010601
2,62.0018,2.14624,5.22401,2.29986,0.38279,0.25026,0.18871,0.09975,1.84689,3.27631,2.09586,0.000192523,0.000192523,0.000192523
3,71.6679,1.87944,4.79481,2.07767,0.51668,0.19727,0.23978,0.14398,1.808,3.05042,1.98345,0.000257718,0.000257718,0.000257718
4,81.2828,1.71366,4.60444,1.95521,0.48079,0.22617,0.27045,0.1604,1.84685,2.96901,1.97503,0.000227069,0.000227069,0.000227069
5,90.7315,1.67713,4.4693,1.91404,0.35544,0.25786,0.30657,0.19233,1.76401,2.82414,1.93834,0.000195092,0.000195092,0.000195092
6,100.142,1.57197,4.28577,1.8214,0.31222,0.32532,0.32875,0.20754,1.6937,2.75903,1.87722,0.000163115,0.000163115,0.000163115
7,109.497,1.50053,4.15027,1.78958,0.45093,0.30393,0.34113,0.21414,1.69873,2.69346,1.87561,0.000131138,0.000131138,0.000131138
8,118.873,1.44941,4.0764,1.73502,0.40201,0.33814,0.38017,0.24042,1.66921,2.62668,1.84485,9.9161e-05,9.9161e-05,9.9161e-05
9,128.841,1.46232,4.03394,1.74478,0.51488,0.34071,0.37502,0.24147,1.65702,2.5704,1.85425,6.7184e-05,6.7184e-05,6.7184e-05
10,138.338,1.46595,3.98608,1.76297,0.58566,0.33962,0.37698,0.24159,1.65691,2.53318,1.84809,3.5207e-05,3.5207e-05,3.5207e-05
