epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8098,1.48615,4.81218,1.69535,0.00768,0.50358,0.02825,0.01724,1.3059,3.83358,1.70847,0.000107168,0.000107168,0.000107168
2,26.8005,1.25375,4.53282,1.54928,0.52842,0.07429,0.0799,0.04418,1.32021,3.96257,1.6896,0.000172298,0.000172298,0.000172298
3,38.5805,1.29302,4.26544,1.53853,0.32718,0.16591,0.12121,0.07564,1.34529,3.32467,1.6847,0.000194791,0.000194791,0.000194791
4,50.3267,1.27579,4.03481,1.52674,0.46477,0.23353,0.18478,0.11299,1.34057,3.27157,1.66659,0.000131138,0.000131138,0.000131138
5,62.0518,1.26475,3.92575,1.51832,0.70604,0.20538,0.23212,0.1557,1.31934,3.24531,1.64922,6.7184e-05,6.7184e-05,6.7184e-05
