epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9608,1.41048,4.68151,1.64115,0,0,0,0,1.19266,4.08833,1.62811,0.00010522,0.00010522,0.00010522
2,20.246,1.24403,4.40845,1.49481,0.02125,0.45666,0.09762,0.06061,1.29623,3.75642,1.66626,0.000202348,0.000202348,0.000202348
3,29.3212,1.19617,4.00488,1.44678,0.58502,0.13931,0.16569,0.10831,1.36189,3.34816,1.66543,0.000288818,0.000288818,0.000288818
4,38.4202,1.29053,3.64091,1.49716,0.68723,0.26436,0.31833,0.18847,1.41871,2.92867,1.70526,0.000275035,0.000275035,0.000275035
5,47.7242,1.2202,3.28704,1.45714,0.38602,0.39586,0.39163,0.24164,1.46072,2.66571,1.74434,0.000259046,0.000259046,0.000259046
6,56.9266,1.22728,2.98396,1.44791,0.48198,0.4517,0.48237,0.29907,1.50361,2.48735,1.80211,0.000243057,0.000243057,0.000243057
7,66.0963,1.19963,2.83412,1.4057,0.79663,0.40476,0.52344,0.31978,1.51665,2.374,1.80998,0.000227069,0.000227069,0.000227069
8,75.6208,1.17655,2.68256,1.39037,0.43206,0.53886,0.51801,0.33272,1.39791,2.16944,1.68645,0.00021108,0.00021108,0.00021108
9,84.8655,1.19069,2.57163,1.41134,0.65287,0.50013,0.53984,0.34914,1.38282,2.14956,1.58074,0.000195092,0.000195092,0.000195092
10,94.0277,1.14157,2.45167,1.35842,0.70052,0.50179,0.61132,0.40434,1.41336,1.9657,1.68963,0.000179103,0.000179103,0.000179103
11,103.717,1.14636,3.06179,1.45689,0.56169,0.60407,0.59743,0.38294,1.4355,1.96253,1.73925,0.000163115,0.000163115,0.000163115
12,112.856,1.11065,2.94167,1.40526,0.72101,0.58876,0.65527,0.42828,1.44846,1.83833,1.73205,0.000147126,0.000147126,0.000147126
13,122.186,1.09438,2.7731,1.38472,0.70637,0.5742,0.65731,0.4436,1.41916,1.88244,1.68498,0.000131138,0.000131138,0.000131138
14,131.303,1.0527,2.66823,1.36185,0.77207,0.62785,0.68417,0.44951,1.45551,1.83038,1.67462,0.000115149,0.000115149,0.000115149
15,140.635,1.02217,2.59674,1.31232,0.75338,0.68216,0.70198,0.45349,1.44634,1.7964,1.69035,9.9161e-05,9.9161e-05,9.9161e-05
16,149.751,0.98442,2.53618,1.29527,0.75573,0.64973,0.69141,0.44849,1.45642,1.71771,1.70759,8.31725e-05,8.31725e-05,8.31725e-05
17,158.857,0.96077,2.36659,1.3124,0.82482,0.60509,0.66877,0.43857,1.44383,1.77167,1.69209,6.7184e-05,6.7184e-05,6.7184e-05
18,168.057,0.92763,2.36751,1.2706,0.74707,0.60527,0.67971,0.44013,1.41815,1.66463,1.67108,5.11955e-05,5.11955e-05,5.11955e-05
19,177.398,0.91025,2.29732,1.26085,0.72121,0.65544,0.69552,0.45138,1.40753,1.6629,1.65401,3.5207e-05,3.5207e-05,3.5207e-05
20,186.507,0.88427,2.22619,1.21538,0.861,0.60564,0.68406,0.45357,1.40247,1.65045,1.65154,1.92185e-05,1.92185e-05,1.92185e-05
