epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2989,1.44224,4.71099,1.64983,0,0,0,0,1.17045,4.08696,1.62229,9.044e-05,9.044e-05,9.044e-05
2,18.7433,1.20888,4.42495,1.47105,0.01889,0.29674,0.08375,0.05725,1.24954,3.88069,1.57967,0.000178034,0.000178034,0.000178034
3,27.2243,1.22308,4.01126,1.46479,0.76791,0.11168,0.18526,0.11771,1.33848,3.43315,1.64708,0.000259447,0.000259447,0.000259447
4,35.5939,1.18175,3.61866,1.41794,0.63131,0.19098,0.24206,0.14442,1.48415,3.11984,1.82762,0.000291023,0.000291023,0.000291023
5,43.9973,1.20964,3.35234,1.45063,0.55181,0.30056,0.32794,0.20964,1.48026,2.81416,1.78694,0.000280364,0.000280364,0.000280364
6,52.3964,1.16134,3.05529,1.44049,0.53131,0.3404,0.41604,0.25256,1.44107,2.45616,1.70155,0.000269705,0.000269705,0.000269705
7,60.8069,1.14799,2.78511,1.38485,0.45755,0.41829,0.46076,0.30141,1.4443,2.18951,1.77117,0.000259046,0.000259046,0.000259046
8,69.7664,1.14772,2.78852,1.37151,0.57237,0.47694,0.54137,0.33538,1.51775,2.20436,1.86088,0.000248387,0.000248387,0.000248387
9,78.1402,1.17398,2.5947,1.37431,0.50535,0.49127,0.52966,0.33746,1.4477,1.99699,1.77042,0.000237728,0.000237728,0.000237728
10,86.5842,1.10178,2.37816,1.339,0.60686,0.52599,0.57647,0.37648,1.41945,1.99364,1.70387,0.000227069,0.000227069,0.000227069
11,94.9865,1.12171,2.32577,1.33977,0.62494,0.51433,0.61551,0.39106,1.37463,1.89749,1.64615,0.00021641,0.00021641,0.00021641
12,103.387,1.08843,2.26359,1.34303,0.59992,0.6133,0.64109,0.41467,1.41184,1.85123,1.69861,0.000205751,0.000205751,0.000205751
13,111.755,1.08182,2.16321,1.31934,0.70261,0.56004,0.59955,0.39381,1.37662,1.99032,1.69845,0.000195092,0.000195092,0.000195092
14,120.474,1.03258,1.99063,1.29506,0.55415,0.61134,0.59948,0.38739,1.42316,1.84336,1.72581,0.000184433,0.000184433,0.000184433
15,128.839,1.01338,1.96926,1.30218,0.65094,0.62071,0.63418,0.41454,1.39723,1.8524,1.68467,0.000173774,0.000173774,0.000173774
16,137.302,1.03267,1.92069,1.26626,0.65312,0.63065,0.6607,0.4302,1.39183,1.76968,1.66999,0.000163115,0.000163115,0.000163115
17,145.735,1.0139,1.87835,1.28593,0.56842,0.5994,0.6261,0.39501,1.42986,1.88584,1.71381,0.000152456,0.000152456,0.000152456
18,154.138,0.98664,1.81214,1.24749,0.62473,0.58497,0.62313,0.40232,1.43617,1.86346,1.70757,0.000141797,0.000141797,0.000141797
19,162.567,0.97733,1.78514,1.24283,0.58086,0.64339,0.64218,0.43263,1.38476,1.7254,1.70246,0.000131138,0.000131138,0.000131138
20,171.022,0.97787,1.89304,1.24498,0.65626,0.62213,0.65306,0.44083,1.37868,1.67212,1.66476,0.000120479,0.000120479,0.000120479
21,179.811,0.97169,2.34382,1.3274,0.65352,0.62701,0.6602,0.41698,1.45807,1.81488,1.80682,0.00010982,0.00010982,0.00010982
22,188.204,0.95881,2.34036,1.30475,0.60323,0.64829,0.63995,0.4254,1.40878,1.73402,1.72375,9.9161e-05,9.9161e-05,9.9161e-05
23,196.525,0.92539,2.15426,1.25255,0.65117,0.63232,0.65128,0.42375,1.35928,1.71717,1.67913,8.8502e-05,8.8502e-05,8.8502e-05
24,205.334,0.91785,2.13933,1.26254,0.69487,0.64059,0.68168,0.45466,1.35618,1.59221,1.65351,7.7843e-05,7.7843e-05,7.7843e-05
25,213.743,0.84438,2.05365,1.20381,0.69057,0.6326,0.67325,0.4632,1.33651,1.68096,1.66253,6.7184e-05,6.7184e-05,6.7184e-05
26,222.122,0.82553,2.03547,1.16652,0.7031,0.63506,0.67992,0.4603,1.35628,1.56604,1.70019,5.6525e-05,5.6525e-05,5.6525e-05
27,230.491,0.85971,2.01937,1.20156,0.68618,0.66091,0.68966,0.45753,1.37955,1.57208,1.67672,4.5866e-05,4.5866e-05,4.5866e-05
28,239.161,0.80932,1.92726,1.15888,0.69469,0.6535,0.68617,0.45883,1.36957,1.58522,1.67485,3.5207e-05,3.5207e-05,3.5207e-05
29,247.602,0.79526,1.94563,1.17802,0.65147,0.68327,0.6822,0.45505,1.35446,1.59018,1.67484,2.4548e-05,2.4548e-05,2.4548e-05
30,255.99,0.81443,1.95985,1.17072,0.70204,0.62699,0.67052,0.45199,1.35428,1.59161,1.67761,1.3889e-05,1.3889e-05,1.3889e-05
